index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc
6198,109686.9,115.950339,111.394781,-2.114356,-1.590539,
6199,109704.6,115.979178,111.419058,-2.11579,-1.588415,
6200,109722.3,116.008719,111.444663,-2.119552,-1.5891030000000002,
6201,109740.0,116.038534,111.46929,-2.123297,-1.590805,
6202,109757.7,116.067618,111.494101,-2.12832,-1.594639,
6203,109775.4,116.097372,111.519339,-2.132382,-1.5981900000000002,
6204,109793.1,116.126746,111.544546,-2.135078,-1.5974460000000001,
6205,109810.8,116.155814,111.570196,-2.137521,-1.5961560000000001,
6206,109828.5,116.185751,111.59519,-2.139072,-1.59714,
6207,109846.2,116.215399,111.620047,-2.139302,-1.5976549999999998,
6208,109863.9,116.244986,111.645453,-2.144564,-1.602661,
6209,109881.6,116.274085,111.67066,-2.149755,-1.6122189999999998,
6210,109899.3,116.304175,111.696494,-2.153542,-1.6209419999999999,
6211,109917.0,116.33335,111.721472,-2.15555,-1.623395,
6212,109934.7,116.362585,111.746527,-2.156368,-1.616749,
6213,109952.4,116.392508,111.771384,-2.154558,-1.6089520000000002,
6214,109970.1,116.422095,111.796515,-2.152622,-1.6037810000000001,
6215,109987.8,116.451651,111.821661,-2.153029,-1.603618,
6216,110005.5,116.480826,111.8478,-2.159283,-1.6090669999999998,
6217,110023.2,116.510504,111.872687,-2.164572,-1.6146440000000002,
6218,110040.9,116.540137,111.898474,-2.168884,-1.6251889999999998,
6219,110058.6,116.569846,111.923178,-2.173047,-1.63225,
6220,110076.3,116.598883,111.94921,-2.176749,-1.6303100000000001,
6221,110094.0,116.628836,111.974265,-2.175048,-1.621778,
6222,110111.7,116.658148,111.999442,-2.17356,-1.6172630000000001,
6223,110129.4,116.687292,112.025565,-2.175573,-1.6180379999999999,
6224,110147.1,116.716681,112.050879,-2.177802,-1.6196099999999998,
6225,110164.8,116.746558,112.076254,-2.183359,-1.6243379999999998,
6226,110182.5,116.776404,112.101706,-2.188381,-1.6346760000000002,
6227,110200.2,116.805792,112.127387,-2.191275,-1.6422630000000003,
6228,110217.9,116.835654,112.153021,-2.193127,-1.641356,
6229,110235.6,116.864722,112.178198,-2.194475,-1.6345960000000002,
