T(K),latentHeat(J/g)
252.05,285.612667596335
252.06,285.637383628168
252.07,285.662096658559
252.08,285.686806689969
252.09,285.71151372486
252.1,285.736217765689
252.11,285.76091881491
252.12,285.785616874979
252.13,285.810311948346
252.14,285.835004037461
252.15,285.859693144772
252.16,285.884379272723
252.17,285.909062423758
252.18,285.933742600319
252.19,285.958419804843
252.2,285.983094039769
252.21,286.007765307531
252.22,286.032433610562
252.23,286.057098951293
252.24,286.081761332152
252.25,286.106420755565
252.26,286.131077223958
252.27,286.155730739753
252.28,286.180381305371
252.29,286.205028923228
252.3,286.229673595742
252.31,286.254315325326
252.32,286.278954114393
252.33,286.303589965352
252.34,286.328222880611
252.35,286.352852862576
252.36,286.377479913651
252.37,286.402104036236
252.38,286.426725232731
252.39,286.451343505535
252.4,286.475958857041
252.41,286.500571289644
252.42,286.525180805733
252.43,286.549787407699
252.44,286.574391097928
252.45,286.598991878804
252.46,286.623589752711
252.47,286.648184722029
252.48,286.672776789137
252.49,286.69736595641
252.5,286.721952226224
252.51,286.74653560095
252.52,286.77111608296
252.53,286.795693674619
252.54,286.820268378296
252.55,286.844840196352
252.56,286.869409131151
252.57,286.893975185052
252.58,286.918538360412
252.59,286.943098659587
252.6,286.96765608493
252.61,286.992210638792
252.62,287.016762323523
252.63,287.04131114147
252.64,287.065857094977
252.65,287.090400186387
252.66,287.114940418042
252.67,287.139477792279
252.68,287.164012311436
